month,holdings,n_holdings,month_return
2024-02-29 00:00:00,"sh.688008, sh.603993, sh.603501",3,0.1377207105153606
2024-03-31 00:00:00,"sh.688008, sh.603993, sh.603501",3,0.08607263145188893
2024-04-30 00:00:00,"sh.688008, sh.603993, sh.603501",3,0.07322858159093038
2024-05-31 00:00:00,"sh.688008, sh.603993, sh.603501",3,-0.03490817447471095
2024-06-30 00:00:00,"sh.688008, sh.603993, sh.603501",3,0.053571623057918405
2024-07-31 00:00:00,"sh.688008, sh.603993, sh.603501",3,-0.009172036899312785
2024-08-31 00:00:00,"sh.688008, sh.603993, sh.603501",3,-0.07791529622319682
2024-09-30 00:00:00,"sh.688008, sh.603993, sh.603501",3,0.20548156974687193
2024-10-31 00:00:00,"sh.688008, sh.603993, sh.603501",3,-0.03420905050997547
2024-11-30 00:00:00,"sh.688008, sh.603993, sh.603501",3,-0.04595661199372503
2024-12-31 00:00:00,"sh.603993, sh.688008, sh.603501",3,-0.006049741538609488
2025-01-31 00:00:00,"sh.688008, sh.603259, sh.600111",3,0.033773016503968245
2025-02-28 00:00:00,"sh.688008, sh.601127, sh.603259",3,0.10311698094736177
2025-03-31 00:00:00,"sh.688008, sh.600111, sh.601127",3,0.04812726723921368
2025-04-30 00:00:00,"sh.688008, sh.603259, sh.600111",3,0.014674337256692427
2025-05-31 00:00:00,"sh.688008, sh.600111, sh.603259",3,0.03141776955750131
2025-06-30 00:00:00,"sh.688008, sh.600111, sh.601127",3,0.08030079685897018
2025-07-31 00:00:00,"sh.688008, sh.601127, sh.603019",3,0.162562199582041
2025-08-31 00:00:00,"sh.688008, sh.601127, sh.600031",3,0.26923029691184674
2025-09-30 00:00:00,"sh.688008, sh.601012, sh.601127",3,0.2059358658415158
2025-10-31 00:00:00,"sh.688008, sh.601127, sh.600031",3,-0.013073617822212724
2025-11-30 00:00:00,"sh.688008, sh.601127, sh.600031",3,-0.13322204775088897
